qID,gold,a2,gold_rank,top1,n_cands,dataset
lapchole__2412113,"Specimen, Specimen bag, Sponge","Clip, Specimen, Specimen bag, Sponge",2,"Clip, Specimen, Specimen bag, Sponge",5,lapchole
lapchole__2412254,"Clip, Specimen bag","Specimen, Specimen bag",2,"Specimen, Specimen bag",5,lapchole
lapchole__2427228,"Specimen, Specimen bag","Clip, Specimen, Specimen bag",1,"Specimen, Specimen bag",5,lapchole
lapchole__2427371,"Clip, Specimen bag, Sponge","Specimen, Specimen bag, Sponge",2,"Specimen, Specimen bag, Sponge",5,lapchole
lapchole__2427389,"Clip, Sponge",Sponge,2,Sponge,3,lapchole
lapchole__2427543,"Clip, Specimen bag",Specimen bag,1,"Clip, Specimen bag",5,lapchole
lapchole__2427550,"Clip, Specimen bag, Sponge","Specimen, Specimen bag",2,"Specimen, Specimen bag",5,lapchole
lapchole__2427676,"Clip, Specimen bag",Specimen bag,1,"Clip, Specimen bag",5,lapchole
lapchole__2427717,"Clip, Sponge",Sponge,2,Sponge,3,lapchole
lapchole__2487257,Sponge,Clip,2,Clip,3,lapchole
lapchole__2501701,"Clip, Sponge","Clip, Specimen",3,Clip,4,lapchole
lapchole__2501739,"Specimen, Specimen bag","Clip, Specimen, Specimen bag",3,"Clip, Specimen, Specimen bag",5,lapchole
lapchole__2512881,Sponge,Clip,3,Clip,3,lapchole
lapchole__2512984,"Clip, Sponge",Clip,2,Clip,3,lapchole
lapchole__2513192,"Clip, Sponge",Sponge,1,"Clip, Sponge",3,lapchole
lapchole__2662584,Specimen,Clip,2,Clip,4,lapchole
lapchole__2679368,Specimen,Clip,3,Clip,4,lapchole
lapchole__2693256,"Specimen, Sponge","Clip, Sponge",3,Clip,4,lapchole
lapchole__2693270,"Clip, Specimen, Sponge","Specimen, Sponge",2,"Specimen, Sponge",5,lapchole
lapchole__2698930,Sponge,Specimen,2,Specimen,4,lapchole
lapchole__2700457,"Clip, Specimen",Specimen,2,Specimen,5,lapchole
lapchole__2700517,"Clip, Specimen, Sponge","Specimen, Sponge",3,"Specimen, Sponge",5,lapchole
lapchole__2700586,Sponge,"Clip, Sponge",3,"Clip, Sponge",3,lapchole
lapchole__2700665,Clip,Specimen,2,Specimen,4,lapchole
lapchole__2700714,"Clip, Specimen, Sponge","Specimen, Sponge",2,"Specimen, Sponge",5,lapchole
lapchole__2720373,Clip,Specimen,2,Specimen,4,lapchole
lapchole__2792156,"Clip, Specimen, Specimen bag","Specimen, Specimen bag",2,"Specimen, Specimen bag",5,lapchole
lapchole__2792163,"Clip, Specimen bag","Specimen bag, Sponge",1,"Clip, Specimen bag",5,lapchole
lapchole__2792165,"Clip, Specimen bag","Specimen, Specimen bag",2,"Specimen, Specimen bag",5,lapchole
lapchole__2799506,Clip,Specimen,2,Specimen,4,lapchole
lapchole__2799820,Specimen bag,Clip,2,Clip,4,lapchole
lapchole__2837900,Clip,Specimen,3,Specimen,4,lapchole
lapchole__2898881,"Clip, Specimen","Specimen, Specimen bag",2,"Specimen, Specimen bag",5,lapchole
lapchole__2898886,"Clip, Specimen, Specimen bag","Specimen, Specimen bag",2,"Specimen, Specimen bag",5,lapchole
lapchole__2898988,"Clip, Specimen bag","Clip, Sponge",3,Clip,4,lapchole
lapchole__2899119,"Clip, Specimen bag","Clip, Sponge",3,Clip,4,lapchole
lapchole__2909963,Sponge,Specimen bag,2,Specimen bag,4,lapchole
lapchole__2912682,"Clip, Specimen bag",Sponge,3,Sponge,4,lapchole
lapchole__2912775,"Clip, Specimen, Specimen bag","Specimen, Specimen bag",1,"Clip, Specimen, Specimen bag",5,lapchole
lapchole__2912962,Sponge,Specimen,2,Specimen,4,lapchole
lapchole__2947082,Clip,Specimen bag,2,Specimen bag,4,lapchole
lapchole__2947243,Sponge,Clip,2,Clip,3,lapchole
lapchole__2961544,Clip,Sponge,2,Sponge,3,lapchole
lapchole__2961545,Clip,Sponge,2,Sponge,3,lapchole
lapchole__2961553,Sponge,Specimen bag,2,Specimen bag,4,lapchole
lapchole__3027874,"External drain, Specimen bag","Clip, Specimen bag, Sponge",1,"External drain, Specimen bag",5,lapchole
lapchole__3041397,"Clip, Specimen",Specimen,1,"Clip, Specimen",5,lapchole
lapchole__3041613,"Clip, Specimen",Specimen,2,Specimen,5,lapchole
lapchole__3156543,"Clip, Specimen",Specimen,2,Specimen,5,lapchole
lapchole__3205035,"Clip, Specimen, Specimen bag","Specimen, Specimen bag",2,"Specimen, Specimen bag",5,lapchole
lapchole__3210880,Clip,Specimen,2,Specimen,4,lapchole
lapchole__3210887,Clip,Specimen,2,Specimen,4,lapchole
lapchole__3212271,Clip,Specimen,2,Specimen,4,lapchole
lapchole__3212295,"Clip, Specimen, Specimen bag","Specimen, Specimen bag",2,"Specimen, Specimen bag",5,lapchole
lapchole__3231812,Clip,Specimen,2,Specimen,4,lapchole
lapchole__3406731,Specimen bag,"Specimen bag, Sponge",1,Specimen bag,5,lapchole
lapchole__3494464,Clip,Specimen,3,Specimen,4,lapchole
lapchole__3494916,"Specimen, Specimen bag","Clip, Specimen, Specimen bag",3,Clip,5,lapchole
lapchole__3744678,"Clip, Specimen","Specimen, Specimen bag",2,"Specimen, Specimen bag",5,lapchole
lapchole__3751750,"Clip, Specimen",Specimen,2,Specimen,5,lapchole
lapchole__4649549,"Clip, Specimen, Specimen bag","Specimen, Specimen bag",2,"Specimen, Specimen bag",5,lapchole
lapchole__4655746,"Clip, Specimen, Specimen bag",Specimen,2,Specimen,5,lapchole
lapchole__4655806,"Clip, Specimen, Specimen bag",Specimen,2,Specimen,5,lapchole
lapchole__4674040,Clip,Specimen,2,Specimen,4,lapchole
lapchole__4681380,Specimen,Clip,2,Clip,4,lapchole
lapchole__4691526,"Specimen, Sponge","Clip, Specimen",4,"Clip, Specimen",5,lapchole
lapchole__4691528,"Specimen, Sponge","Clip, Specimen",3,"Clip, Specimen",5,lapchole
lapchole__4691531,"Specimen, Sponge","Clip, Specimen",3,"Clip, Specimen",5,lapchole
lapchole__4698961,Specimen,Clip,3,Clip,4,lapchole
lapchole__4700433,"Specimen, Sponge",Specimen,2,Specimen,5,lapchole
lapchole__4700616,"Clip, Sponge",Clip,2,Clip,3,lapchole
lapchole__4700677,"Specimen, Sponge",Specimen,2,Specimen,5,lapchole
lapchole__4700738,Sponge,Clip,3,Clip,3,lapchole
lapchole__4700784,"Specimen, Sponge",Specimen,2,Specimen,5,lapchole
lapchole__4912530,"Specimen, Sponge","Specimen, Specimen bag",2,"Specimen, Specimen bag",5,lapchole
lapchole__4923456,Sponge,"Clip, Sponge",3,"Clip, Sponge",3,lapchole
lapchole__4923864,"Clip, Sponge","Clip, Specimen",3,Clip,4,lapchole
lapchole__4923914,"Specimen, Specimen bag","Clip, Specimen, Specimen bag",3,"Clip, Specimen, Specimen bag",5,lapchole
lapchole__4950776,Sponge,Clip,2,Clip,3,lapchole
lapchole__4962712,Clip,Sponge,2,Sponge,3,lapchole
lapchole__4962738,Clip,Sponge,2,Sponge,3,lapchole
lapchole__4962748,Specimen,Sponge,2,Sponge,4,lapchole
lapchole__5026645,"Specimen, Specimen bag, Sponge","Specimen, Specimen bag",2,"Specimen, Specimen bag",5,lapchole
lapchole__5026646,"Specimen, Sponge","Specimen, Specimen bag",2,"Specimen, Specimen bag",5,lapchole
lapchole__582532,Clip,Specimen,2,Specimen,4,lapchole
lapchole__607036,"Clip, Gallstone","Clip, Sponge",3,Clip,4,lapchole
lapchole__607052,"Gallstone, Sponge","Clip, Sponge",3,Clip,4,lapchole
lapchole__607076,"Specimen, Specimen bag, Sponge","Specimen, Specimen bag",2,"Specimen, Specimen bag",5,lapchole
lapchole__607087,"Specimen bag, Sponge","Specimen, Specimen bag",2,"Specimen, Specimen bag",5,lapchole
lapchole__616970,Sponge,Clip,2,Clip,3,lapchole
lapchole__620726,Sponge,"Clip, Sponge",3,"Clip, Sponge",3,lapchole
lapchole__620871,"Specimen bag, Sponge",Specimen bag,2,Specimen bag,5,lapchole
lapchole__621028,"Specimen, Specimen bag, Sponge",Specimen bag,2,Specimen bag,5,lapchole
lapchole__621133,"Gallstone, Sponge",Clip,2,Clip,4,lapchole
lapchole__685532,Clip,Sponge,2,Sponge,3,lapchole
lapchole__685559,Gallstone,Clip,2,Clip,4,lapchole
lapchole__723120,"Specimen, Specimen bag, Sponge","Clip, Specimen, Specimen bag",3,"Clip, Specimen, Specimen bag",5,lapchole
lapchole__723128,"Specimen, Specimen bag, Sponge","Clip, Specimen, Sponge",3,Clip,5,lapchole
lapchole__723141,"Specimen bag, Sponge","Specimen, Specimen bag",2,"Specimen, Specimen bag",5,lapchole
lapchole__723168,"Clip, Sponge","Clip, Specimen",3,"Clip, Specimen",4,lapchole
lapchole__733714,Sponge,Clip,2,Clip,3,lapchole
lapchole__737626,"Specimen, Specimen bag, Sponge","Specimen, Specimen bag",2,"Specimen, Specimen bag",5,lapchole
lapchole__737692,"Specimen bag, Sponge","Specimen, Specimen bag",2,"Specimen, Specimen bag",5,lapchole
lapchole__737762,"Specimen, Specimen bag, Sponge","Specimen, Specimen bag",2,"Specimen, Specimen bag",5,lapchole
lapchole__995573,"Specimen, Specimen bag","Clip, Specimen, Specimen bag",2,"Clip, Specimen, Specimen bag",5,lapchole
